model_code	model_id	model_initial_id	model_name	model_quarter
MOD_201609	-21609	1609	Режущий элемент для мотокультиватора	-2.0
MOD_201610	-21610	1610	Ручной аккумуляторный инструмент: фигурные ножницы, секатор и кусторез	-2.0
MOD_201611	-21611	1611	Многофункциональный садовой кусторез	-2.0
MOD_201612	-21612	1612	Инструмент многофункциональный аккумуляторный	-2.0
MOD_201613	-21613	1613	Двигатель аккумуляторный для многофункционального инструмента	-2.0
MOD_201614	-21614	1614	Многофункциональный садовый триммер	-2.0
MOD_201615	-21615	1615	Многофункциональный кусторез	-2.0
MOD_201616	-21616	1616	Кусторез для многофункционального инструмента	-2.0
MOD_201617	-21617	1617	Электропила для заготовки дров	-2.0
MOD_201618	-21618	1618	Масло для техники	-2.0
MOD_201619	-21619	1619	Мойка высокого давления электрическая	-2.0
MOD_201620	-21620	1620	Очиститель высокого давления бензиновый	-2.0
MOD_201621	-21621	1621	Аксессуары для мойки высокого давления	-2.0
MOD_201622	-21622	1622	Насадка для мойки высокого давления	-2.0
MOD_201623	-21623	1623	Пеногенератор для мойки высокого давления	-2.0
MOD_201624	-21624	1624	Насадка для плоских поверхностей	-2.0
MOD_201625	-21625	1625	Набор аксессуаров для мойки высокого давления	-2.0
MOD_201626	-21626	1626	Щетка для мойки высокого давления	-2.0
MOD_201627	-21627	1627	Адаптер для мойки высокого давления	-2.0
MOD_201628	-21628	1628	Моющее средство для мойки высокого давления	-2.0
MOD_201629	-21629	1629	Запчасти для моек высокого давления	-2.0
MOD_201630	-21630	1630	Фильтр для моек высокого давления	-2.0
MOD_201631	-21631	1631	Песок для пескоструйного аппарата	-2.0
MOD_201632	-21632	1632	Шланг для мойки высокого давления	-2.0
MOD_201633	-21633	1633	Шланг для мойки высокого давления	-2.0
MOD_201634	-21634	1634	Очиститель высокого давления под горячую воду	-2.0
MOD_201635	-21635	1635	Садовая обувь	-2.0
MOD_201636	-21636	1636	Секатор	-2.0
MOD_201637	-21637	1637	Двуручный секатор	-2.0
MOD_201638	-21638	1638	Штанговый секатор	-2.0
MOD_201639	-21639	1639	Ножницы для живой изгороди	-2.0
MOD_201640	-21640	1640	Садовая пила	-2.0
MOD_201641	-21641	1641	Пила для заготовки дров	-2.0
MOD_201642	-21642	1642	Полотно для пилы	-2.0
MOD_201643	-21643	1643	Топор, кувалда, секира	-2.0
MOD_201644	-21644	1644	Прививочный нож	-2.0
MOD_201645	-21645	1645	Инструмент для заточки ручной	-2.0
MOD_201646	-21646	1646	Косы и серпы	-2.0
MOD_201647	-21647	1647	Ножницы для газона	-2.0
MOD_201648	-21648	1648	Клин	-2.0
MOD_201649	-21649	1649	Малый садовый инвентарь	-2.0
MOD_201650	-21650	1650	Ямкоделатель	-2.0
MOD_201651	-21651	1651	Инструмент для посадки и нож для сорняков	-2.0
MOD_201652	-21652	1652	Набор садовых инструментов	-2.0
MOD_201653	-21653	1653	Лопата	-2.0
MOD_201654	-21654	1654	Вилы и двуручные вилы	-2.0
MOD_201655	-21655	1655	Грабли и метла для уборки листьев и травы	-2.0
MOD_201656	-21656	1656	Метла-щетка для улицы	-2.0
MOD_201657	-21657	1657	Мешок для отходов и аксессуары	-2.0
MOD_201658	-21658	1658	Ручной инструмент для обработки почвы: культиватор, мотыга, кирка	-2.0
MOD_201659	-21659	1659	Ручки и рукоятки	-2.0
MOD_201660	-21660	1660	Ручной культиватор	-2.0
MOD_201661	-21661	1661	Cкарификатор для газона	-2.0
MOD_201662	-21662	1662	Ручной каток для газона	-2.0
MOD_201663	-21663	1663	Сеялка	-2.0
MOD_201664	-21664	1664	Инструмент для удаления сорняков	-2.0
MOD_201665	-21665	1665	Бур садовый	-2.0
MOD_201666	-21666	1666	Инструмент для сбора фруктов	-2.0
MOD_201667	-21667	1667	Сандалии-аэраторы для газона	-2.0
MOD_201668	-21668	1668	Козел для пиления дров	-2.0
MOD_201669	-21669	1669	Обувной коврик	-2.0
MOD_201670	-21670	1670	Держатель для инструмента с крюком	-2.0
MOD_201671	-21671	1671	Стул для садовых работ	-2.0
MOD_201672	-21672	1672	Таз	-2.0
MOD_201673	-21673	1673	Тачки садовые и аксессуары	-2.0
MOD_201674	-21674	1674	Ручка для модульного инструмента	-2.0
MOD_201675	-21675	1675	Компостеры	-2.0
MOD_201676	-21676	1676	Оцинкованный бак	-2.0
MOD_201677	-21677	1677	Принадлежности для бассейна	-2.0
